id	Identifier	HumanOrAnimal	SkinOrFeces	AnimalAge	WildPack	PetdogOrigin	Antibiotic	Sex	Diet	Contact_to_WSC_animals	Related	chao1
D9s	D_S	Animal	Skin	Adult	D_pack_E_s	D_noorigin_s	long_ago	male	dry	unavailable	D_family_B	728
D3s	D_S	Animal	Skin	Old	D_pack_E_s	D_noorigin_s	long_ago	male	dry	unavailable	D_family_C	115
D10s	D_S	Animal	Skin	Adult	D_pack_E_s	D_noorigin_s	long_ago	female	dry	unavailable	D_family_B	797
D13s	D_S	Animal	Skin	Old	D_pack_D_s	D_noorigin_s	long_ago	female	dry	unavailable	D_family_C	987
D1s	D_S	Animal	Skin	Adult	D_pack_F_s	D_noorigin_s	long_ago	male	dry	unavailable	D_family_A	367
D7s	D_S	Animal	Skin	Adult	D_pack_C_s	D_noorigin_s	long_ago	female	dry	unavailable	D_family_B	1154
D4s	D_S	Animal	Skin	Adult	D_pack_C_s	D_noorigin_s	never	male	dry	unavailable	D_family_B	666
D11s	D_S	Animal	Skin	Old	D_pack_A_s	D_noorigin_s	long_ago	male	dry	unavailable	NA	500
D2s	D_S	Animal	Skin	Adult	D_pack_B_s	D_noorigin_s	long_ago	female	dry	unavailable	D_family_A	959
W4s	W_S	Animal	Skin	Old	W_pack_A_s	W_noorigin_s	recently	male	barf	unavailable	NA	520
W13s	W_S	Animal	Skin	Adult	W_pack_A_s	W_noorigin_s	long_ago	female	barf	unavailable	NA	905
W8s	W_S	Animal	Skin	Adult	W_pack_B_s	W_noorigin_s	long_ago	male	barf	unavailable	NA	229
W16s	W_S	Animal	Skin	Old	W_pack_C_s	W_noorigin_s	recently	male	barf	unavailable	NA	861
W5s	W_S	Animal	Skin	Old	W_pack_D_s	W_noorigin_s	long_ago	male	barf	unavailable	W_family_A	1055
W1s	W_S	Animal	Skin	Adult	W_pack_C_s	W_noorigin_s	never	male	barf	unavailable	W_family_C	365
W7s	W_S	Animal	Skin	Old	W_pack_B_s	W_noorigin_s	long_ago	female	barf	unavailable	W_family_D	919
W11s	W_S	Animal	Skin	Young	W_pack_E_s	W_noorigin_s	long_ago	female	barf	unavailable	W_family_E	741
W14s	W_S	Animal	Skin	Young	W_pack_F_s	W_noorigin_s	never	female	barf	unavailable	W_family_B	379
W12s	W_S	Animal	Skin	Young	W_pack_E_s	W_noorigin_s	never	male	barf	unavailable	W_family_B	959
W3s	W_S	Animal	Skin	Young	W_pack_F_s	W_noorigin_s	never	male	barf	unavailable	W_family_B	858
W9s	W_S	Animal	Skin	Adult	W_pack_G_s	W_noorigin_s	long_ago	female	barf	unavailable	W_family_C	595
W15s	W_S	Animal	Skin	Old	W_pack_D_s	W_noorigin_s	long_ago	female	barf	unavailable	W_family_A	1386
W10s	W_S	Animal	Skin	Young	W_pack_E_s	W_noorigin_s	never	male	barf	unavailable	W_family_E	651
W6s	W_S	Animal	Skin	Old	W_pack_B_s	W_noorigin_s	long_ago	male	barf	unavailable	W_family_D	517
W2s	W_S	Animal	Skin	Old	W_pack_D_s	W_noorigin_s	long_ago	male	barf	unavailable	W_family_A	668
