Group 1,Group 2,H,p-value,q-value
T1C (n=8),T32C (n=10),0.6394736842105218,0.42390144800012897,0.49629170223109464
T1C (n=8),T32L (n=10),2.2815789473684234,0.13091853136410178,0.2124670354426984
T1C (n=8),T34L (n=9),6.2592592592592595,0.01235458501787193,0.07412751010723158
T32C (n=10),T32L (n=10),0.4628571428571391,0.49629170223109464,0.49629170223109464
T32C (n=10),T34L (n=9),3.526666666666671,0.06038908130926998,0.18116724392780995
T32L (n=10),T34L (n=9),2.1600000000000037,0.14164469029513227,0.2124670354426984
