Group 1,Group 2,H,p-value,q-value
T1C (n=8),T32C (n=10),0.5052631578947384,0.4771966199887694,0.5726359439865233
T1C (n=8),T32L (n=10),0.5052631578947384,0.4771966199887694,0.5726359439865233
T1C (n=8),T34L (n=9),3.342592592592588,0.06750816200747833,0.3302471802567798
T32C (n=10),T32L (n=10),0.02285714285714846,0.8798291600118151,0.8798291600118151
T32C (n=10),T34L (n=9),1.9266666666666694,0.1651235901283899,0.3302471802567798
T32L (n=10),T34L (n=9),1.9266666666666694,0.1651235901283899,0.3302471802567798
