Group 1,Group 2,H,p-value,q-value
T1C (n=8),T32C (n=10),0.5052631578947384,0.4771966199887694,0.5726359439865233
T1C (n=8),T32L (n=10),3.1578947368421026,0.0755605675259418,0.2266817025778254
T1C (n=8),T34L (n=9),3.7037037037037024,0.0542918283668548,0.2266817025778254
T32C (n=10),T32L (n=10),1.8514285714285705,0.17361733442493982,0.26042600163740975
T32C (n=10),T34L (n=9),1.9266666666666694,0.1651235901283899,0.26042600163740975
T32L (n=10),T34L (n=9),0.1666666666666714,0.6830913983096043,0.6830913983096043
