Group 1,Group 2,H,p-value,q-value
T1C (n=8),T32C (n=10),0.03157894736842337,0.8589549227374772,0.8589549227374772
T1C (n=8),T32L (n=10),0.955263157894727,0.3283832142406826,0.49257482136102393
T1C (n=8),T34L (n=9),3.7037037037037024,0.0542918283668548,0.307411304579248
T32C (n=10),T32L (n=10),0.2057142857142793,0.6501474440948594,0.7801769329138312
T32C (n=10),T34L (n=9),2.6666666666666643,0.10247043485974933,0.307411304579248
T32L (n=10),T34L (n=9),1.9266666666666694,0.1651235901283899,0.3302471802567798
