Group 1,Group 2,H,p-value,q-value
T1C (n=8),T32C (n=10),0.33389721074379375,0.5633732305249306,0.5633732305249306
T1C (n=8),T32L (n=10),4.934210526315788,0.026330087653026055,0.10008704249741039
T1C (n=8),T34L (n=9),4.481481481481481,0.03426400773486915,0.10008704249741039
T32C (n=10),T32L (n=10),2.2857142857142776,0.13057001811573685,0.19585502717360528
T32C (n=10),T34L (n=9),3.8399999999999963,0.050043521248705196,0.10008704249741039
T32L (n=10),T34L (n=9),0.8066666666666649,0.36910759043756325,0.4429291085250759
