Group 1,Group 2,H,p-value,q-value
T1C (n=8),T32C (n=10),0.5052631578947384,0.4771966199887694,0.5726359439865233
T1C (n=8),T32L (n=10),2.8499999999999943,0.09137393673644552,0.26042600163740975
T1C (n=8),T34L (n=9),3.7037037037037024,0.0542918283668548,0.26042600163740975
T32C (n=10),T32L (n=10),1.8514285714285705,0.17361733442493982,0.26042600163740975
T32C (n=10),T34L (n=9),2.1600000000000037,0.14164469029513227,0.26042600163740975
T32L (n=10),T34L (n=9),0.240000000000002,0.6242061147664044,0.6242061147664044
