ID,Sample,Run,Day,Phase,Additive,CowNo,CowName,Extraction
81,Papilla,Run-4,13,SARA_I,Control,Cow-1,Elfi,20.09.
82,Papilla,Run-4,13,SARA_I,Control,Cow-2,Newada,20.09.
83,Papilla,Run-4,13,SARA_I,Yeast,Cow-3,Narbe,20.09.
84,Papilla,Run-4,13,SARA_I,Yeast,Cow-4,Bergrose,20.09.
85,Papilla,Run-4,13,SARA_I,Phyto,Cow-5,Ricki,20.09.
86,Papilla,Run-4,13,SARA_I,Phyto,Cow-6,Edit,20.09.
87,Papilla,Run-4,13,SARA_I,EB,Cow-7,Elsa,20.09.
88,Papilla,Run-4,13,SARA_I,EB,Cow-8,Nelda,20.09.
89,Papilla,Run-4,33,SARA_II,Control,Cow-1,Elfi,20.09.
90,Papilla,Run-4,33,SARA_II,Control,Cow-2,Newada,20.09.
91,Papilla,Run-4,33,SARA_II,Yeast,Cow-3,Narbe,20.09.
92,Papilla,Run-4,33,SARA_II,Yeast,Cow-4,Bergrose,20.09.
93,Papilla,Run-4,33,SARA_II,Phyto,Cow-5,Ricki,20.09.
94,Papilla,Run-4,33,SARA_II,Phyto,Cow-6,Edit,20.09.
95,Papilla,Run-4,33,SARA_II,EB,Cow-7,Elsa,20.09.
96,Papilla,Run-4,33,SARA_II,EB,Cow-8,Nelda,20.09.
