Point,Formic acid,Acetic acid,Propionic acid,Isobutyric acid,Propanol_2,Butyric acid,Isovaleric acid,Valeric acid
Rusitec-T48_240h_7,107.9803366,591.2941935,314.9381258,16.87994819,0,229.1558112,61.13113707,94.5746619
Rusitec-T48_240h_8,155.6836893,703.7281784,336.0080602,24.21417526,0,306.5154171,84.84483689,101.9956026
Rusitec-T48_240h_9,188.9489957,656.245578,294.8959212,19.06390115,0,235.2424889,67.28679802,106.3475151
Rusitec-T48_240h_10,171.2141139,721.0553569,458.8428835,25.13188405,0,258.5621476,67.21458031,86.80211359
Rusitec-T48_240h_11,111.3257435,832.8330669,396.1718072,30.48760514,0,363.909873,100.815123,122.6045007
Rusitec-T48_240h_12,213.4719841,796.532041,448.3498991,26.70560636,0,252.9365299,65.44472063,83.24448594
Rusitec-T48_264h_1,0,718.0477012,281.4271804,28.4996536,0,231.9241735,105.3126531,128.5758144
Rusitec-T48_264h_2,0,573.7952418,330.7155801,23.19284093,0,255.2096854,69.21075872,102.1860428
Rusitec-T48_264h_3,0,706.5108775,300.6113012,24.75857702,0,308.9093211,96.64338819,110.1919697
Rusitec-T48_264h_4,188.6728179,766.1729881,371.119269,27.21733931,0,235.4810495,76.25139271,73.04483447
Rusitec-T48_264h_5,0,651.3306031,372.8381235,25.4923571,0,213.08796,82.89914125,96.85447373
Rusitec-T48_264h_6,0,627.7532741,367.6097758,20.81676332,0,197.8549154,80.85118929,94.06518617
Rusitec-T48_264h_7,0,729.6927121,346.8679502,23.58499745,0,289.0603371,93.52312201,121.3464136
Rusitec-T48_264h_8,197.4091193,693.279208,390.4115396,22.73111954,0,263.5368621,76.48346913,82.24367574
Rusitec-T48_264h_9,112.2669703,741.5345925,296.8271086,21.82182788,0,240.3983485,88.62768564,114.141437
Rusitec-T48_264h_10,204.1376834,739.0426464,443.5738559,21.24163175,0,253.5415183,76.16111423,87.6040585
Rusitec-T48_264h_11,104.1795881,734.8047516,304.2085478,25.26197471,0,304.28108,107.918863,117.3282926
Rusitec-T48_264h_12,217.4900115,729.4668454,395.0614167,23.04246296,0,244.6160935,71.77249256,73.68866261
Rusitec-T48_288h_1,0,677.3163322,239.5259012,16.09376644,0,206.2218448,101.7137814,126.022564
Rusitec-T48_288h_2,183.0354309,568.3280831,312.0410888,21.25599977,0,243.9426335,74.33292036,101.1472096
Rusitec-T48_288h_3,150.6834675,693.7216441,306.3651453,21.48615233,0,292.2517642,105.3883925,104.4040481
Rusitec-T48_288h_4,176.5089489,768.9252596,373.7177297,24.96506394,0,251.7291559,93.66234347,77.36860268
Rusitec-T48_288h_5,86.5453344,593.0679692,352.6540396,21.81718984,0,198.3110591,92.74052217,97.49060355
Rusitec-T48_288h_6,0,605.8953021,344.2109617,24.74067553,0,196.1096899,92.3383675,93.09622119
Rusitec-T48_288h_7,0,562.6192587,271.449814,21.21986068,0,229.3736168,84.24655456,93.77529902
Rusitec-T48_288h_8,0,647.2322984,355.4967202,23.98260787,0,245.464492,79.97070858,71.36981408
Rusitec-T48_288h_9,0,573.4909003,219.0590309,16.09599138,0,189.8330357,84.96239965,95.56459882
Rusitec-T48_288h_10,0,804.1142461,440.1618919,25.1332644,0,262.5021799,86.14075107,88.84713146
Rusitec-T48_288h_11,0,693.279338,264.3692031,26.63596536,0,274.906132,114.3476767,105.449805
Rusitec-T48_288h_12,174.3501781,1032.336864,577.5325201,28.25464034,0,362.6139175,131.3047958,125.6073712
Rusitec-T48_312h_1,151.3766683,657.5163223,246.1384944,25.63471006,0,221.253946,115.3573423,127.4597494
Rusitec-T48_312h_2,0,586.8314722,335.786412,25.15697026,0,252.8669683,85.01608396,101.3347712
Rusitec-T48_312h_3,0,644.0847275,303.0568782,24.61592673,0,287.0048538,107.4288234,98.20058941
Rusitec-T48_312h_4,0,744.1041681,354.3829516,28.39892666,0,266.7374544,99.20674821,75.3566541
Rusitec-T48_312h_5,0,629.2902603,366.3083957,25.56853502,0,211.1282658,99.66887849,101.0814631
Rusitec-T48_312h_6,0,584.2185957,325.8631462,23.71315619,0,203.5691145,89.46275015,92.18610771
Rusitec-T48_312h_7,0,614.84194,295.5339434,20.05987779,0,243.4109886,87.9706575,106.9691281
Rusitec-T48_312h_8,0,695.2202707,386.5862982,25.84366179,0,284.4339202,84.82059662,81.23532024
Rusitec-T48_312h_9,0,660.448494,275.699542,24.5578873,0,234.4753309,99.90606722,112.9134451
Rusitec-T48_312h_10,0,615.6943692,341.5655405,13.56562457,0,194.9892957,63.87344311,69.23489322
Rusitec-T48_312h_11,0,678.9693075,244.5445009,23.43216329,0,257.2543796,110.9384584,95.6627739
Rusitec-T48_312h_12,0,0,0,0,0,0,0,0
