Acetic_acid,Propionic_acid,Isobutyric_acid,Butyric_acid,Isovaleric_acid,Valeric_acid,day,reactor
651.9357751,418.8441548,15.59730498,175.2578125,37.18262935,52.75029084,7,1
666.7386295,458.3860236,27.06630205,183.266901,35.99173092,62.64798649,7,2
647.2967946,425.3726798,13.2852019,159.7307047,26.89078345,56.73118738,7,3
707.1031113,426.8101555,22.36827791,203.2565654,36.30095949,55.80935429,7,4
718.5944886,484.1731664,23.69938427,205.8054537,34.90175992,55.02954323,7,5
564.2120289,384.2010405,18.76249885,168.175738,28.7321875,52.84547745,7,6
741.2675704,504.7831445,21.95698893,180.5082377,37.55632331,57.42902807,7,7
576.0150295,387.2155425,23.68425641,170.7652689,31.6794229,58.22765937,7,8
687.8947501,441.2306962,22.8633346,182.7505942,35.80668926,54.88579027,7,9
645.6942069,404.7519277,22.7501414,177.5482527,35.03513983,51.42300018,7,10
702.9780849,453.8013026,26.20399408,183.8774507,36.42462551,53.10173585,7,11
689.98405,413.3814142,26.366913,192.8151994,40.70824159,48.47383144,7,12
639.17918,437.9736121,16.30617839,160.0492378,40.13935504,62.58789179,8,1
609.488625,445.7496982,26.58845883,168.2727506,35.34926982,64.8616406,8,2
678.3407296,492.4120496,23.5809871,173.03214,34.22607136,68.13256084,8,3
700.2246431,430.7567775,28.16041729,220.1777981,44.54032807,60.93365685,8,4
636.0345348,447.8030083,26.58619511,171.3192595,34.78098038,56.65216246,8,5
568.721822,416.0464385,20.39233012,191.8515693,31.24373585,64.22111652,8,6
630.5725125,454.0810691,24.59483937,154.4401264,38.97913808,53.72796783,8,7
659.5422313,467.8620009,25.51128703,187.0225293,33.55994931,64.97136795,8,8
658.1593989,444.8033237,24.680223,171.7854582,35.76587464,58.5688527,8,9
660.1432423,467.7194561,27.2943173,169.673983,36.18772644,62.39219668,8,10
684.587109,468.7345182,30.13423781,187.2358524,42.33913645,62.97414659,8,11
656.8987321,425.886404,30.8098262,178.9158498,38.40498931,53.70547057,8,12
723.7710243,478.718999,16.70495227,190.2225987,42.84645933,89.49235582,9,1
640.3346503,429.1126503,27.63630282,222.6150585,35.63045438,90.03454701,9,2
714.4762889,448.702192,24.92956691,221.5678076,35.48819653,89.95127128,9,3
710.7868719,426.4443247,27.11024063,261.8623328,45.60525841,78.57368133,9,4
609.7068848,420.2574977,28.04784316,154.7712616,34.91978767,72.60637933,9,5
505.850115,367.8811738,20.31729123,161.1793421,32.8034065,74.28154317,9,6
659.9942899,448.2833612,17.1347417,207.7132715,38.91104173,85.76306043,9,7
668.7748111,456.6090508,29.27461011,220.0875704,43.52440677,80.80780053,9,8
657.2303804,394.356575,24.25514917,186.2967813,36.37982167,81.81214908,9,9
641.9605788,449.5944148,22.58677289,190.2139452,36.86717809,89.05684133,9,10
702.7260166,428.159622,20.23596392,240.6360861,37.05581768,84.79816935,9,11
665.992567,426.0448923,25.17554254,181.1599749,37.02761868,72.8473176,9,12
717.3068401,380.8912122,29.79082741,234.7734872,60.18444536,110.2287591,10,1
628.5272286,388.0268705,29.59023536,246.1760808,43.70089319,89.50317172,10,2
677.4035841,347.2587583,27.32208522,240.2202066,47.74079295,94.280041,10,3
808.8835194,418.0333898,28.45892387,267.3291622,48.92052663,81.79870332,10,4
631.4772798,429.1618884,27.29902285,189.6441047,44.72994337,89.73857771,10,5
559.8512532,382.843743,22.02861644,176.744245,47.47230023,92.43864128,10,6
590.4146525,358.7658835,23.52203701,236.6969658,49.76666442,87.81314677,10,7
652.7458787,397.0650025,26.33165585,229.1865322,49.94474653,80.91576826,10,8
647.8687433,327.5915719,27.30646325,215.9465723,51.52748863,99.97829869,10,9
730.4929982,471.9221981,27.80491551,270.6662082,50.82607591,99.82733513,10,10
709.597398,371.683255,30.31389046,300.2189199,65.24428868,100.8208104,10,11
868.5754724,517.4686056,30.38718846,231.3327104,51.33952238,92.56217778,10,12
724.0552757,300.5169197,19.92465353,246.2753179,82.22962709,123.4128433,11,1
567.1487518,343.1322023,24.80582931,251.8309735,49.60267418,86.47339057,11,2
676.5928954,289.853547,25.96982399,264.5163089,73.29463399,105.6360757,11,3
749.9123375,367.050038,26.28273018,230.5188591,55.32358059,69.49501991,11,4
618.3276609,376.4012054,25.70117238,210.4269767,58.7434199,92.70396074,11,5
546.7736724,340.8229002,19.61817222,171.6028116,60.24930459,89.41341218,11,6
594.0953573,308.5342826,18.4778475,234.4063254,61.37509478,95.84318234,11,7
666.0902866,382.7080311,24.27115178,254.7894458,61.12570969,79.92476505,11,8
