id,counts,reactor,day
01-144-B1,2982820,1,7
01-144-B2,3153860,2,7
01-144-B3,2745170,3,7
01-144-B4,3171780,4,7
01-144-B5,2352190,5,7
01-144-B6,2044970,6,7
01-144-B7,1442770,7,7
01-144-B8,2497590,8,7
01-144-B9,1517040,9,7
01-144-B10,2118840,10,7
01-144-B11,3097290,11,7
01-144-B12,2527360,12,7
01-168-C1,2441700,1,8
01-168-C2,2789350,2,8
01-168-C3,3107610,3,8
01-168-C4,3440990,4,8
01-168-C5,3286110,5,8
01-168-C6,2976640,6,8
01-168-C7,2444230,7,8
01-168-C8,2986930,8,8
01-168-C9,3400620,9,8
01-168-C10,3001480,10,8
01-168-C11,2810680,11,8
01-168-C12,3141070,12,8
01-192-D1,3608770,1,9
01-192-D2,3265570,2,9
01-192-D3,4113530,3,9
01-192-D4,3727930,4,9
01-192-D5,3043940,5,9
01-192-D6,3933150,6,9
01-192-D7,3376470,7,9
01-192-D8,3720450,8,9
01-192-D9,4028330,9,9
01-192-D10,3626280,10,9
01-192-D11,4742410,11,9
01-192-D12,2720050,12,9
01-216-E1,2923090,1,10
01-216-E2,3135400,2,10
01-216-E3,2904120,3,10
01-216-E4,3884020,4,10
01-216-E5,2392540,5,10
01-216-E6,2341590,6,10
01-216-E7,2378670,7,10
01-216-E8,1863020,8,10
01-216-E9,2457170,9,10
01-216-E10,2736140,10,10
01-216-E11,1807700,11,10
01-216-E12,10130,12,10
01-240-B1,3299010,1,11
01-240-B2,3035470,2,11
01-240-B3,2994930,3,11
01-240-B4,3847510,4,11
01-240-B5,4183900,5,11
01-240-B6,4642750,6,11
01-240-B7,2973920,7,11
01-240-B8,3408880,8,11
01-240-B9,4605230,9,11
01-240-B10,3948330,10,11
01-240-B11,3464130,11,11
01-240-B12,4368430,12,11
01-264-C1,3243860,1,12
01-264-C2,3366620,2,12
01-264-C3,3543200,3,12
01-264-C4,4358560,4,12
01-264-C5,3216730,5,12
01-264-C6,3963040,6,12
01-264-C7,4132100,7,12
01-264-C8,3738260,8,12
01-264-C9,4193520,9,12
01-264-C10,4103100,10,12
01-264-C11,3871040,11,12
01-264-C12,3689470,12,12
01-288-D1,3534600,1,13
01-288-D2,2918750,2,13
01-288-D3,2973360,3,13
01-288-D4,3751080,4,13
01-288-D5,4749730,5,13
01-288-D6,3816730,6,13
01-288-D7,2936250,7,13
01-288-D8,2912870,8,13
01-288-D9,3960270,9,13
01-288-D10,3101310,10,13
01-288-D11,3128180,11,13
01-288-D12,2802080,12,13
01-312-E1,2231480,1,14
01-312-E2,2278360,2,14
01-312-E3,2030770,3,14
01-312-E4,3576330,4,14
01-312-E5,2676760,5,14
01-312-E6,2748170,6,14
01-312-E7,2510450,7,14
01-312-E8,2399320,8,14
01-312-E9,2913190,9,14
01-312-E10,2747450,10,14
01-312-E11,3015580,11,14
01-312-E12,2816160,12,14
